date,volume,value,open,high,low,close,change,transaction
2014-01-02,10762073,629994789,58.7,58.75,58.34,58.56,-0.15,2326
2014-01-03,14509506,840196483,58.44,58.44,57.7,57.84,-0.7,3606
2014-01-06,14870810,857370777,57.75,57.94,57.56,57.7,-0.15,3651
2014-01-07,13128332,758131999,57.75,57.9,57.7,57.7,0.0,2582
2014-01-08,7605215,439845285,57.7,57.94,57.7,57.8,0.1,1997
2014-01-09,8571228,493178086,57.66,57.8,57.4,57.56,-0.25,2329
2014-01-10,4741624,272992903,57.5,57.66,57.5,57.56,0.0,1027
2014-01-13,6179869,358200472,58.0,58.2,57.8,57.9,0.35,1649
2014-01-14,4276441,246832293,57.7,57.84,57.6,57.8,-0.1,1753
2014-01-15,11675845,680334063,57.94,58.44,57.94,58.4,0.6,3783
2014-01-16,12771698,749062443,58.5,58.75,58.5,58.56,0.15,2648
2014-01-17,8169584,478201524,58.6,58.7,58.3,58.66,0.1,2188
2014-01-20,5627156,330310001,58.4,58.8,58.4,58.8,0.15,2155
2014-01-21,6963662,408195578,58.75,58.84,58.5,58.56,-0.25,984
2014-01-22,6838219,400293473,58.44,58.66,58.34,58.66,0.1,2088
2014-01-23,6904868,404192804,58.6,58.75,58.34,58.5,-0.15,1588
2014-01-24,10706035,627470683,58.3,58.8,58.3,58.66,0.15,1417
2014-01-27,21325343,1228049744,58.1,58.2,57.44,57.6,-1.05,5733
2014-02-05,57559609,3221379831,56.4,56.4,55.6,55.8,-1.8,14073
2014-02-06,12853797,719872613,55.94,56.2,55.8,56.0,0.2,4307
2014-02-07,16027524,906121727,56.4,56.7,56.3,56.6,0.6,4581
2014-02-10,6020179,341784486,56.9,56.9,56.6,56.6,0.0,2230
2014-02-11,5582078,317077336,56.6,56.94,56.6,56.94,0.35,1312
2014-02-12,18604541,1067688348,57.16,57.56,57.16,57.56,0.6,3367
2014-02-13,8235696,472958789,57.44,57.56,57.34,57.4,-0.15,1407
2014-02-14,22328857,1295999585,57.7,58.2,57.7,57.94,0.55,4400
2014-02-17,15434959,896780422,58.1,58.25,57.94,57.94,0.0,2094
2014-02-18,13088686,759134214,57.94,58.16,57.8,58.16,0.2,2463
2014-02-19,13366688,776753628,58.1,58.2,58.06,58.16,0.0,1499
2014-02-20,13737331,793857746,58.06,58.06,57.6,57.66,-0.5,1890
2014-02-21,17317428,1009724094,58.4,58.44,58.2,58.2,0.55,3615
2014-02-24,7368063,427851584,58.4,58.44,57.8,57.9,-0.3,1848
2014-02-25,8621993,500963922,58.25,58.25,57.94,58.16,0.25,2155
2014-02-26,8953651,522326087,58.0,58.5,57.94,58.4,0.25,1914
2014-02-27,3676458,214534731,58.3,58.44,58.3,58.3,-0.1,906
2014-03-03,8020935,463398140,57.8,58.16,57.5,57.94,-0.35,1774
2014-03-04,6185686,357739238,57.9,58.0,57.7,57.7,-0.25,1815
2014-03-05,6901618,402695756,58.2,58.44,58.2,58.3,0.6,2290
2014-03-06,26226639,1543672801,58.34,59.2,58.34,59.16,0.85,5539
2014-03-07,30394804,1808621977,59.3,59.8,59.3,59.4,0.25,4273
2014-03-10,7930817,468535003,59.3,59.4,58.94,59.06,-0.35,2428
2014-03-11,4967719,294581577,59.25,59.44,59.16,59.34,0.3,939
2014-03-12,2671739,157215101,58.84,59.0,58.75,58.8,-0.55,780
2014-03-13,25692825,1533321519,59.25,59.8,59.25,59.75,0.95,5067
2014-03-14,13449615,796078253,59.16,59.3,59.1,59.16,-0.6,2387
2014-03-17,8983182,529913736,59.16,59.2,58.9,59.06,-0.1,1192
2014-03-18,14863279,882016725,59.4,59.5,59.2,59.4,0.35,1425
2014-03-19,9855394,583117233,59.4,59.44,58.94,59.25,-0.15,1261
2014-03-20,18482909,1079233363,58.7,58.7,58.3,58.5,-0.75,3326
2014-03-21,4142984,242514600,58.66,58.66,58.4,58.5,0.0,1093
2014-03-24,11346270,663112880,58.44,58.66,58.25,58.66,0.15,1385
2014-03-25,4915027,289304520,58.5,59.16,58.5,59.16,0.5,1386
2014-03-26,9980170,594390452,59.44,59.7,59.34,59.7,0.55,1903
2014-03-27,11258157,671284506,59.5,59.84,59.44,59.8,0.1,1447
2014-03-28,20164890,1208961939,59.84,60.1,59.8,59.9,0.1,2586
2014-03-31,17186901,1032021422,60.06,60.16,59.9,60.1,0.2,2088
2014-04-01,28836222,1742191068,60.25,60.6,60.2,60.6,0.5,3203
2014-04-02,19104855,1164181333,60.8,61.16,60.8,60.8,0.2,2138
2014-04-03,12620330,766517855,60.8,60.94,60.66,60.66,-0.15,1334
2014-04-07,11380319,687722237,60.4,60.5,60.3,60.5,-0.15,1114
2014-04-08,14011887,850681912,60.44,60.9,60.44,60.8,0.3,1203
2014-04-09,12067064,736215354,60.8,61.1,60.8,61.0,0.2,1546
2014-04-10,13486974,823824535,61.25,61.3,60.9,61.2,0.2,1379
2014-04-11,15019135,916078435,60.8,61.16,60.8,61.16,-0.05,1216
2014-04-14,13397003,818202956,61.1,61.2,60.9,61.06,-0.1,1201
2014-04-15,13893416,852294773,61.2,61.44,61.2,61.34,0.3,1536
2014-04-16,7049691,432479784,61.34,61.5,61.1,61.3,-0.05,971
2014-04-17,3531783,216347762,61.3,61.4,61.1,61.16,-0.15,753
2014-04-18,7072752,436080993,61.75,61.9,61.5,61.56,0.4,1010
2014-04-21,3405648,209616454,61.44,61.66,61.44,61.56,0.0,723
2014-04-22,9137755,564338510,61.56,61.94,61.56,61.75,0.2,1182
2014-04-23,5487114,339123359,61.84,62.06,61.5,61.66,-0.1,1009
2014-04-24,4518205,278868794,61.7,61.8,61.6,61.75,0.1,635
2014-04-25,22903168,1397360353,61.66,61.8,60.6,60.7,-1.05,2363
2014-04-28,8482863,516757486,60.3,61.5,60.3,61.25,0.55,1696
2014-04-29,6518965,399867438,61.25,61.5,61.1,61.34,0.1,880
2014-04-30,5598140,341881232,61.4,61.44,60.8,61.0,-0.35,916
2014-05-02,7646838,469116738,61.16,61.66,61.16,61.3,0.3,844
2014-05-05,6845893,419278572,61.56,61.6,61.0,61.2,-0.1,704
2014-05-06,10313513,632333847,61.5,61.75,61.1,61.56,0.35,1010
2014-05-07,7877926,483709781,61.5,61.6,61.2,61.4,-0.15,581
2014-05-08,3831478,236336647,61.6,61.84,61.4,61.84,0.45,1143
2014-05-09,3932389,242254650,61.7,61.84,61.44,61.44,-0.4,955
2014-05-12,3933661,240843294,61.5,61.5,61.1,61.16,-0.3,820
2014-05-13,5610714,345231830,61.6,61.75,61.34,61.44,0.3,690
2014-05-14,10739563,662001739,61.6,61.8,61.44,61.8,0.35,774
2014-05-15,8903574,549372988,61.75,61.84,61.56,61.75,-0.05,756
2014-05-16,9138648,563132512,61.66,61.84,61.4,61.84,0.1,784
2014-05-19,7165881,443514372,61.84,62.0,61.8,61.84,0.0,768
2014-05-20,9946886,617828250,61.9,62.3,61.9,62.1,0.25,1113
2014-05-21,6524205,404622181,62.0,62.2,61.75,61.8,-0.3,747
